longi ude, la i ude,  imes amp, igni ion
76.0711, 11.0550, 2024-10-29 08:00:00, on
76.0715, 11.0554, 2024-10-29 08:00:04, on
76.0718, 11.0558, 2024-10-29 08:00:06, on
76.0720, 11.0560, 2024-10-29 08:00:08, on
76.0723, 11.0563, 2024-10-29 08:00:10, on
76.0725, 11.0565, 2024-10-29 08:00:12, on
76.0725, 11.0565, 2024-10-29 08:00:14, on
76.0725, 11.0565, 2024-10-29 08:00:16, on  
76.0725, 11.0565, 2024-10-29 08:00:18, on
76.0728, 11.0568, 2024-10-29 08:00:20, on
76.0730, 11.0570, 2024-10-29 08:00:22, on
76.0733, 11.0573, 2024-10-29 08:00:24, on
76.0736, 11.0576, 2024-10-29 08:00:26, on
76.0739, 11.0579, 2024-10-29 08:00:28, on
76.0740, 11.0580, 2024-10-29 08:00:30, off  
76.0740, 11.0580, 2024-10-29 08:00:32, off
76.0740, 11.0580, 2024-10-29 08:00:34, on
76.0742, 11.0582, 2024-10-29 08:00:36, on
76.0744, 11.0584, 2024-10-29 08:00:38, on
76.0746, 11.0586, 2024-10-29 08:00:40, on
76.0749, 11.0589, 2024-10-29 08:00:42, on
76.0752, 11.0592, 2024-10-29 08:00:44, on
76.0755, 11.0595, 2024-10-29 08:00:46, on
76.0758, 11.0598, 2024-10-29 08:00:48, on
76.0760, 11.0600, 2024-10-29 08:00:50, on
76.0760, 11.0600, 2024-10-29 08:00:52, on  
76.0760, 11.0600, 2024-10-29 08:00:54, on
76.0763, 11.0603, 2024-10-29 08:00:56, on
76.0765, 11.0605, 2024-10-29 08:00:58, on
76.0767, 11.0607, 2024-10-29 08:01:00, on
76.0770, 11.0610, 2024-10-29 08:01:02, on
76.0770, 11.0610, 2024-10-29 08:01:04, off  
76.0770, 11.0610, 2024-10-29 08:01:06, off
76.0770, 11.0610, 2024-10-29 08:01:08, off
76.0772, 11.0612, 2024-10-29 08:01:10, on
76.0775, 11.0615, 2024-10-29 08:01:12, on
76.0778, 11.0618, 2024-10-29 08:01:14, on
76.0780, 11.0620, 2024-10-29 08:01:16, on
76.0783, 11.0623, 2024-10-29 08:01:18, on
76.0786, 11.0626, 2024-10-29 08:01:20, on
76.0789, 11.0629, 2024-10-29 08:01:22, on
